id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5XSlhk0ohNb2klJskHa7yz,"Goldberg Variations, BWV 988: Var. 25",Johann Sebastian Bach,28,classical,0.166,0.00433,0,-30.854,0,0.0491,0.981,0.5175,0.0935,0.0369,60.096,447053,4
09QOqLcUD57JxzjsJToqbR,"St. John Passion, BWV 245, Pt. 1: No. 10, Derselbige Jünger war dem Hohenpriester bekannt",Johann Sebastian Bach,26,classical,0.482,0.0957,6,-24.441,1,0.119,0.952,0,0.124,0.187,84.717,182427,4
6fnWLEDz6ebJ7Aq4ys6AtD,"St. John Passion, BWV 245, Pt. 1: No. 11, Wer hat dich so geschlagen",Johann Sebastian Bach,26,classical,0.15,0.098,8,-20.848,1,0.0411,0.993,0.5175,0.142,0.174,78.794,91960,3
5Uz8nmzrYQ6CHACzMy7ilZ,"Goldberg Variations, BWV 988: Var. 14",Johann Sebastian Bach,28,classical,0.102,0.0129,7,-30.854,1,0.0491,0.99,0.5175,0.147,0.305,166.672,147973,4
5EohypzzF78xg8T6xnMfYX,"The Well-Tempered Clavier, Book 1 - Prelude & Fugue in C-Sharp Minor, BWV 849: II. Fugue",Johann Sebastian Bach,24,classical,0.397,0.327,0,-18.765,0,0.0407,0.859,0.00452,0.0767,0.488,128.829,223998,4
1DOVCaFctyl6cxIbtuUKV3,"The Well-Tempered Clavier, Book 2 - Prelude & Fugue in C Major, BWV 870: I. Prelude",Johann Sebastian Bach,23,classical,0.35,0.366,1,-18.796,0,0.041,0.733,0.00002,0.0744,0.92,123.591,139749,4
532x5DhRSfM68zPDd9NQgq,"St. John Passion, BWV 245, Pt. 1: No. 13, Ach, mein Sinn, wo willt du endlich hin",Johann Sebastian Bach,26,classical,0.362,0.267,5,-16.306,0,0.0408,0.962,0.0103,0.245,0.42,111.07,152600,3
1Tt0C9Y5tCpjVU3twveV99,"Goldberg Variations, BWV 988: Var. 13",Johann Sebastian Bach,28,classical,0.233,0.0406,7,-29.004,1,0.0469,0.935,0.5175,0.109,0.111,69.016,328173,3
1FaWKwx8SfKMAR3bAD3jGv,"Goldberg Variations, BWV 988: Var. 15, Canone alla quinta",Johann Sebastian Bach,27,classical,0.129,0.00244,0,-30.854,0,0.0456,0.974,0.5175,0.117,0.0783,69.15,294720,4
5Ksr57PQPWih041eXN30vX,"St. John Passion, BWV 245, Pt. 1: No. 12, Und Hannas sandte ihn gebunden - Er leugnete aber und sprach",Johann Sebastian Bach,26,classical,0.311,0.251,10,-19.437,0,0.101,0.858,0,0.14,0.142,175.066,117760,3
63OJwycCTJEqmik6rm4L3N,"St. John Passion, BWV 245, Pt. 1: No. 14, Petrus, der nicht denkt zurück",Johann Sebastian Bach,25,classical,0.128,0.133,8,-21.247,1,0.0446,0.993,0.5175,0.108,0.129,173.265,74000,5
3smBDFEHZstu5df5gz6VxB,"St. John Passion, BWV 245, Pt. 2: No. 15, Christus, der uns selig macht",Johann Sebastian Bach,25,classical,0.225,0.1,8,-20.954,1,0.0369,0.991,0.5175,0.223,0.19,78.367,64907,3
1yBXPYvvgfdsLG1BR3p8VI,"St. John Passion, BWV 245, Pt. 2: No. 16, Da führeten - Da sprach Pilatus - Auf daß",Johann Sebastian Bach,25,classical,0.444,0.192,8,-18.973,0,0.0576,0.976,0.000002,0.0967,0.226,113.482,238267,3
7aIZVYypjWvOMJNRZdcUoa,"St. John Passion, BWV 245, Pt. 2: No. 17, Ach großer König, groß zu allen Zeiten",Johann Sebastian Bach,25,classical,0.17,0.0807,8,-22.375,0,0.0347,0.988,0.5175,0.147,0.424,77.298,81680,3
75GqCBllw8mhnj53LeZQvM,"St. John Passion, BWV 245, Pt. 2: No. 20, Erwäge, wie sein blutgefärbter Rücken",Johann Sebastian Bach,24,classical,0.329,0.0818,11,-24.295,0,0.0446,0.923,0.209,0.179,0.217,106.156,442280,4
1eb1ZZMFe23oLD6ZjpuBev,"Goldberg Variations, BWV 988: Var. 16, Ouverture",Johann Sebastian Bach,27,classical,0.15,0.14,7,-19.076,1,0.0358,0.845,0.5175,0.381,0.16,64.354,191960,4
3pw5QYPZbcctBH4BeicWAC,"St. John Passion, BWV 245, Pt. 2: No. 18, Da sprach Pilatus zu ihm - Barrabas aber war ein Mörder!",Johann Sebastian Bach,25,classical,0.476,0.143,1,-21.109,1,0.0924,0.962,0,0.24,0.314,69.706,114307,3
4ZFtypB13cb44B9iVIqnTw,"St. John Passion, BWV 245, Pt. 2: No. 19, Betrachte, meine Seel",Johann Sebastian Bach,25,classical,0.226,0.0775,9,-24.245,1,0.0446,0.957,0.0019,0.101,0.0673,130.004,134693,4
6xYXvTjn5iGuLrWJNtRQOa,"Goldberg Variations, BWV 988: Var. 17",Johann Sebastian Bach,27,classical,0.179,0.124,7,-23.82,1,0.0417,0.963,0.5175,0.322,0.442,72.304,135880,3
5sxNVQNmhTofzbrL8Pvizw,"Goldberg Variations, BWV 988: Var. 18, Canone alla sesta",Johann Sebastian Bach,26,classical,0.191,0.166,7,-18.93,1,0.038,0.87,0.5175,0.381,0.402,109.535,110627,4
1a637P4TwIQ3UF8qZnmbGO,"Goldberg Variations, BWV 988: Var. 20",Johann Sebastian Bach,26,classical,0.217,0.0329,7,-30.683,1,0.0472,0.981,0.5175,0.101,0.325,68.595,143227,5
2B13wzEFn3Kl6uB2KD4N7P,"Goldberg Variations, BWV 988: Var. 26",Johann Sebastian Bach,25,classical,0.263,0.018,7,-30.854,1,0.037,0.982,0.5175,0.271,0.245,66.017,173933,3
0SO42BhkeMfCdrRC0PByRz,"J.S. Bach: Englische Suite Nr. 2 in A-moll, BWV 807 – 1. Prélude",Johann Sebastian Bach,25,classical,0.415,0.151,9,-24.862,0,0.0374,0.995,0.5175,0.144,0.846,104.268,291120,4
6amOsoTlo3LsxT5xkLa9Ys,"St. John Passion, BWV 245, Pt. 2: No. 21, Und die Kriegsknechte flochten eine Krone von Dornen",Johann Sebastian Bach,24,classical,0.396,0.203,6,-18.664,0,0.0468,0.967,0.000001,0.165,0.318,107.875,327640,3
08NaPbmT8TSj6wppktx7KD,"St. John Passion, BWV 245, Pt. 2: No. 23, Die Jüden aber schrieen und sprachen",Johann Sebastian Bach,23,classical,0.459,0.252,5,-18.999,0,0.0439,0.966,0,0.15,0.387,113.905,233827,4
6VNGDbjUfbWd5UDS1w9h7E,"St. John Passion, BWV 245, Pt. 2: No. 24, Eilt, ihr angefochtnen Seelen - Wohin?",Johann Sebastian Bach,23,classical,0.47,0.28,6,-19.282,0,0.0614,0.968,0.000204,0.177,0.688,74.403,239867,4
3WRzKUpL2h72kyF8CwNbs9,"Goldberg Variations, BWV 988: Var. 19",Johann Sebastian Bach,27,classical,0.207,0.0269,7,-29.381,1,0.0451,0.967,0.5175,0.309,0.664,166.339,73480,3
5wASixGVACs9KY6uFxNWG8,"Goldberg Variations, BWV 988: Var. 21, Canone alla settima",Johann Sebastian Bach,26,classical,0.209,0.00204,3,-30.854,1,0.0422,0.982,0.5175,0.105,0.138,94.869,171040,4
2P0NbUmjZ4UHSX4wEH4uAH,"Goldberg Variations, BWV 988: Var. 22",Johann Sebastian Bach,26,classical,0.206,0.064,7,-21.232,1,0.0353,0.901,0.5175,0.169,0.184,70.1,118000,4
